Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C15, C18, C22, C5, C7, C9",C_0805_2012Metric,8,100n,
"C10, C11, C14, C16, C17, C19, C2, C20, C21, C23, C3, C4, C6, C8",C_0805_2012Metric,14,10u,
"C12, C24",C_0805_2012Metric,2,1.5nF,
"D1, D2, D3, D4, D5, D6",D_SOD-123,6,D_Schottky_Small,
"FB1, FB2",L_0805_2012Metric,2,FerriteBead_Small,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_DIN965_Pad,4,MountingHole_Pad,
J1,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,
J3,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
"L1, L2",ind_SWRB1207S-221MT,2,220u,
"R1, R11, R12, R13, R14, R2, R3, R4",R_0805_2012Metric,8,1,
"R10, R15, R7",R_0805_2012Metric,3,1k,
"R16, R9",R_0805_2012Metric,2,100,
"R17, R6",R_0805_2012Metric,2,15k,
R5,R_0805_2012Metric,1,180,
R8,R_0805_2012Metric,1,11k,
"U1, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,MC34063AD,
U2,TO-252-2,1,LM317_TO-252,
U4,TO-263-2,1,MC7915,
